,,Track Name,Artist,Track ID,Popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
110,3543,There for You,Martin Garrix,6jA8HL9i4QGzsj6fjoxp8Y,67,0.124,0.611,221904,0.644,0,6,0.124,-7.607,0,0.0553,105.969,4,0.13
111,3544,Used To Love (with Dean Lewis),Martin Garrix,7pWK1kMgHy5lNNiIfuRbkP,61,0.458,0.651,236765,0.693,0,4,0.335,-4.722,1,0.0375,118.97,4,0.392
112,3545,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix,2iL0W5qi0ivZ9WRXbZ74cS,60,0.248,0.66,217000,0.733,8.96E-06,0,0.17,-4.619,1,0.0359,119.933,4,0.304
113,3546,Nobody,Martin Jensen,2qfEcCkEo5NscA9GL7ER72,58,0.269,0.673,211040,0.687,0,6,0.181,-5.295,0,0.0623,96.964,4,0.524
114,3547,Solo Dance,Martin Jensen,3R6dPfF2yBO8mHySW1XDAa,62,0.0485,0.746,174933,0.846,0,9,0.195,-2.432,1,0.048,114.955,4,0.403
115,3548,Places,Martin Solveig,4QcDkuGQx9824a6X9BZF4e,61,0.248,0.728,202746,0.854,0.00188,0,0.149,-3.86,0,0.0457,121.995,4,0.62
116,3549,Barely Legal 2021,Marvin Divine,7kSBvPr9it26XjylB5LJkx,73,0.0952,0.722,174296,0.579,0,0,0.261,-6.339,0,0.15,157.001,4,0.544
117,3550,Ain't No Mountain High Enough,Marvin Gaye,7tqhbajSfrz2F7E1Z75ASX,86,0.43,0.663,151667,0.6,0,7,0.184,-10.87,1,0.032,129.991,4,0.8
118,3551,Astronaut In The Ocean,Masked Wolf,3Ofmpyhv5UAQ70mENzB277,75,0.175,0.778,132780,0.695,0,4,0.15,-6.865,0,0.0913,149.996,4,0.472
119,3552,Famous,Mason Ramsey,1lasE4yXQmZ5mwWdGQGn8E,43,0.708,0.534,192520,0.815,0,5,0.111,-2.815,1,0.0278,159.848,4,0.564
120,3553,Jerusalema (feat. Nomcebo Zikode),Master KG,2MlOUXmcofMackX3bxfSwi,72,0.0185,0.88,342613,0.483,8.68E-06,1,0.0607,-7.012,1,0.0505,124.009,4,0.827
121,3554,Ao Vivo E A Cores,Matheus & Kauan,6jhZTGGw37atbaHoLsY9TD,59,0.0131,0.668,180304,0.526,0,5,0.147,-6.174,0,0.0352,135.032,4,0.42
122,3555,Baby Me Atende,Matheus Fernandes,1bWBG6IkMnDr3qvCKSvQT7,61,0.607,0.65,225672,0.792,2.36E-05,6,0.92,-3.825,0,0.0393,154.027,4,0.872
123,3556,Sucker for You,Matt Terry,5H9H0i7UCmRDCZRHldbmhN,56,0.223,0.876,203680,0.649,0,0,0.332,-4.369,1,0.0691,95.034,4,0.742
124,3557,Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,73,0.195,0.917,184480,0.588,0,10,0.0914,-11.047,1,0.0607,110.077,4,0.828
125,3558,777-666,Matuê,3sGcETRMuAgcPgjDpIkgMn,71,0.0534,0.544,164000,0.802,0,10,0.139,-4.534,0,0.326,179.924,4,0.322
126,3559,Cogulândia,Matuê,5T6mY3sQbvVfLnertXdoST,63,0.154,0.88,120000,0.52,0,7,0.131,-5.98,0,0.0547,129.955,4,0.812
127,3560,Máquina do Tempo,Matuê,5oI9blwsXC8AkTWw6wASY8,71,0.0647,0.629,230400,0.727,0,4,0.138,-4.387,0,0.0499,149.978,4,0.132
128,3561,Desconocidos,Mau y Ricky,56f5qnyAlZdlz8wrUDA50h,73,0.118,0.719,204564,0.753,4.21E-06,7,0.212,-4.891,1,0.179,174.107,4,0.675
129,3562,La Boca,Mau y Ricky,0UQwlF2pRkr1lMN6kNNUj3,68,0.0655,0.618,206279,0.795,0,2,0.309,-1.8,1,0.113,185.901,4,0.76
130,3563,La Boca - Remix,Mau y Ricky,2EEmzqzM70CybVspgM7YRT,59,0.236,0.691,188468,0.773,0,11,0.329,-3.812,0,0.0355,92.992,4,0.85
131,3564,Mi Mala - Remix,Mau y Ricky,27xFMBWh15wyYGGAVrEMuK,58,0.0184,0.75,255092,0.619,0,5,0.13,-5.777,0,0.212,172.002,4,0.78
132,3565,Blueberry Eyes (feat. SUGA of BTS),MAX,5dn6QANKbf76pANGjMBida,61,0.454,0.746,172245,0.611,0.000922,0,0.133,-7.034,0,0.101,149.967,4,0.411
133,3566,Lights Down Low,MAX,5A6BJLZArq1MPjsnmcuk5f,61,0.0632,0.623,223847,0.493,0,5,0.104,-7.727,0,0.0338,81.019,4,0.594
134,3567,Love Me Less (feat. Quinn XCII),MAX,2tOOcDDYkh0PSjr6GwPEAJ,58,0.0828,0.732,177670,0.856,0,11,0.323,-2.2,0,0.0929,145.034,4,0.771
135,3568,Jogo do Amor,MC Bruninho,3MxbRHE1u74SoMNR9iURIZ,53,0.212,0.758,144039,0.52,0,1,0.071,-6.405,1,0.0866,154.06,4,0.857
